Class Times	65
1	 1:00 PM  4:00 PM T
2	 2:00 PM  4:00 PM M
3	11:00 AM 12:00 PM M-F
4	 7:00 PM 10:00 PM W
5	 8:30 AM 10:00 AM TTH
6	 1:00 PM  2:30 PM TTH
7	 1:00 PM  3:30 PM W
8	 9:00 AM 10:00 AM MWF
9	12:00 PM  1:00 PM MWF
10	11:30 AM  1:00 PM TTH
11	11:00 AM 12:00 PM MWF
12	10:00 AM 11:30 AM TTH
13	 2:30 PM  4:00 PM M
14	10:00 AM 11:00 AM MWF
15	 2:30 PM  4:00 PM MW
16	12:00 PM  2:00 PM W
17	 2:00 PM  4:00 PM W
18	10:00 AM 11:00 AM M-F
19	 7:00 PM 10:00 PM T
20	 1:00 PM  3:30 PM F
21	 1:00 PM  4:00 PM TH
22	 1:00 PM  2:30 PM MW
23	 1:00 PM  4:00 PM M
24	 1:00 PM  3:30 PM TH
25	 1:30 PM  2:30 PM W
26	 7:00 PM  9:00 PM M
27	 1:00 PM  2:00 PM TH
28	 2:00 PM  4:00 PM T
29	11:30 AM  1:00 PM MW
30	 7:00 PM  8:30 PM MW
31	10:00 AM 11:30 AM MW
32	 7:00 PM 10:00 PM M
33	 7:00 PM  9:00 PM T
34	 1:00 PM  3:30 PM T
35	 5:30 PM  8:00 PM W
36	 1:00 PM  4:00 PM W
37	 2:30 PM  4:00 PM TTH
38	 9:00 AM 10:00 AM M-F
39	 2:00 PM  3:00 PM MWF
40	 2:00 PM  4:00 PM TH
41	 1:00 PM  2:00 PM MWF
42	 1:30 PM  4:00 PM TH
43	 1:00 PM  4:00 PM F
44	 1:00 PM  3:30 PM M
45	 1:00 PM  4:00 PM TTH
46	 3:00 PM  4:30 PM MW
47	 9:00 AM 12:00 PM W
48	11:30 AM  1:00 PM M
49	 8:00 AM  9:00 AM M-F
50	 7:00 PM  9:30 PM M
51	 8:00 PM  9:30 PM TTH
52	 6:30 PM  8:00 PM TTH
53	 4:00 PM  5:30 PM TTH
54	 4:30 PM  6:00 PM MW
