Class Times	71
1	10:00 AM 11:00 AM MWF
2	11:00 AM 12:00 PM MWF
3	 8:15 AM  9:45 AM TTH
4	10:00 AM 11:30 AM MW
5	11:30 AM  1:00 PM MW
6	 9:45 AM 11:15 AM TTH
7	 1:00 PM  4:00 PM TTH
8	 1:00 PM  4:00 PM M
9	11:15 AM 12:45 PM TTH
10	 1:00 PM  4:00 PM W
11	 2:00 PM  4:00 PM M
12	 2:00 PM  4:00 PM W
13	 7:00 PM 10:00 PM T
14	12:00 PM  2:00 PM W
15	 2:00 PM  4:00 PM T
16	12:00 PM  1:00 PM M
17	 2:30 PM  4:00 PM MW
18	 2:15 PM  3:45 PM TTH
19	 7:00 PM  8:30 PM MW
20	 1:00 PM  3:30 PM T
21	 1:00 PM  2:30 PM MW
22	12:45 PM  2:15 PM TTH
23	 9:00 AM 10:00 AM MWF
24	 1:30 PM  2:30 PM W
25	 1:15 PM  3:15 PM T
26	 1:00 PM  5:00 PM TH
27	12:00 PM  1:00 PM MWF
28	 8:00 AM  9:00 AM MWF
29	 6:30 PM  9:15 PM T
30	 1:30 PM  4:00 PM TH
31	 1:00 PM  4:00 PM T
32	 4:00 PM  6:00 PM M
33	 1:00 PM  3:30 PM M
34	 1:30 PM  4:00 PM W
35	 1:00 PM  3:30 PM F
36	 7:00 PM 10:00 PM M
37	 7:00 PM  9:00 PM T
38	 2:00 PM  5:00 PM T
39	 9:45 AM 11:15 AM TH
40	 1:00 PM  4:00 PM F
41	 3:45 PM  5:45 PM T
42	 4:00 PM  6:30 PM T
43	 1:00 PM  2:00 PM MWF
44	 1:00 PM  3:30 PM TH
45	12:00 PM  1:30 PM MW
46	 1:00 PM  4:00 PM TH
47	10:00 PM 11:00 PM MWF
48	 4:00 PM  5:30 PM TTH
49	 1:00 PM  3:30 PM W
50	 1:30 PM  4:30 PM T
51	 2:00 PM  3:00 PM MWF
52	12:00 PM  2:00 PM T
53	12:00 PM  2:00 PM F
54	 3:00 PM  5:00 PM T
55	12:00 PM  1:00 PM MW
56	 2:00 PM  4:00 PM TH
57	 3:45 PM  5:45 PM TH
58	 2:00 PM  4:00 PM F
59	10:00 AM 12:00 PM W
60	 1:30 PM  3:30 PM M
61	11:00 AM  1:20 PM T
62	 7:00 PM  9:30 PM W
63	 6:30 PM  8:00 PM TH
64	 1:00 PM  2:30 PM F
65	10:00 AM 12:00 PM T
66	 1:00 PM  2:00 PM MW
67	12:00 PM  2:00 PM TH
68	 4:00 PM  5:30 PM M
69	 5:30 PM  8:00 PM T
70	11:00 AM  1:20 PM W
71	 7:00 PM  9:00 PM MW
Rooms	70
PK25	29
PK243	52
DAL2	21
DAL6	24
PK259	20
BYC127	26
PK11	14
CARP25	23
TH224	35
DAL300	48
TAYG	35
TH104	25
PK200	19
DAL25	21
DAL212E	13
TAYF	33
CARP17	15
CARP21	59
PK349	44
PK337	19
PK20	139
GOCOM	15
CARP15	17
PK229	25
TH118	6
TAYE	32
TAYC	23
EHLEC	27
DAL212A	13
PK264	12
DAL119	35
BYC106	15
PK278	34
EHI	16
PK227	14
PK234	43
DAL10	12
PK180	60
TH110	79
DAL1	16
EHIII	15
PK338	75
TH223	9
PK328	14
TH102	11
GOB	14
PEMSTD	21
DAL315	14
PK10	7
EHII	19
TAYSEM	10
PK182	59
PK126	21
CARP13	8
TAYB	21
TH121	10
PK336	20
TAYD	26
TH111	18
RCSEM	9
ROSTUD	8
TH129	18
GOHEP	7
RCCON	14
TH251	13
BYC239	7
PK247	3
TH116	13
SW7	2
SW2	1
Classes	325
001837	BIOL	100	
002153	CHEM	100	
006847	PHYS	100	
012832	CITY	300	
015106	CITY	300	
001851	BIOL	300	
008770	SPAN	100	
014984	BIOL	300	
009303	HIST	200	
013182	HIST	200	
015113	PSYC	100	
007374	PSYC	200	
007396	PSYC	300	
004394	GERM	300	
004306	GEOL	300	
007087	POLS	300	
003029	ECON	300	
003031	ECON	300	
003478	ENGL	200	
004889	HART	300	
011313	HART	200	
006043	MATH	300	
006874	PHYS	300	
014570	BIOL	100	
014571	BIOL	100	
001749	ARTT	200	
001474	ARCH	300	
001843	BIOL	200	
007128	POLS	300	
004377	GERM	200	
007040	POLS	200	
014993	POLS	200	
005157	HIST	200	
005723	ITAL	000	LANG
002713	COML	300	
003444	ENGL	200	
013170	ENGL	200	
015011	COML	200	
004290	GEOL	300	
011865	GEOL	300	
002178	CHEM	300	
012326	SOCL	200	
014204	SOCL	100	
004282	GEOL	200	
004285	GEOL	200	
013191	EDUC	200	
015243	PSYC	200	
015244	FREN	200	
002163	CHEM	200	
002166	CHEM	200	
011827	CHEM	200	
001757	ARTT	300	
003514	ENGL	300	
011305	ARTW	200	
001899	BIOL	300	
015248	GNST	300	
002161	CHEM	200	
014982	SPAN	100	
002368	CITY	100	
002403	CITY	200	
007377	PSYC	200	
008764	SPAN	000	LANG
009225	ARTW	100	
006026	MATH	100	
006036	MATH	200	
011319	CNSE	100	
006060	MATH	300	
002412	CITY	200	
001551	ARTD	200	
001563	ARTD	300	
001871	BIOL	300	
002571	CMSC	300	
013659	LING	200	
014865	PSYC	100	
014866	PSYC	100	
001187	ANTH	200	
010966	GNST	100	
006035	MATH	200	
008467	SOCL	200	
013641	SOCL	300	
001893	BIOL	300	
013193	BIOL	300	
013997	POLS	300	
008821	SPAN	300	
013059	LATN	300	
003532	ENGL	300	
004020	FREN	200	
013147	POLS	300	
005725	ITAL	100	
012103	ENGL	200	
013627	BIOL	200	
012818	CITY	200	
004874	HART	300	
012839	CSTS	300	
014381	HART	200	
001860	BIOL	300	
001766	ARTW	200	
006555	PHIL	300	
006588	PHIL	300	
006045	MATH	300	
001896	BIOL	300	
002569	CMSC	200	
005247	HIST	300	
001774	ARTW	300	
011309	HART	100	
001176	ANTH	200	
004738	GREK	100	
001164	ANTH	200	
002564	CMSC	200	
006862	PHYS	300	
004051	FREN	300	
003270	EDUC	200	
013146	ECON	200	
004852	HART	200	
002397	CITY	200	
015239	CITY	200	
004072	FREN	300	
015250	BIOL	300	
004012	FREN	000	
004806	HART	100	
013614	ECON	200	
004281	GEOL	200	
012494	ARCH	200	
013640	POLS	300	
004360	GERM	100	
006024	MATH	100	
007882	RUSS	100	
007904	RUSS	200	
011075	BIOL	200	
001152	ANTH	100	
007375	PSYC	200	
008420	SOCL	100	
001764	ARTW	200	
004865	HART	300	
009296	HART	200	
008778	SPAN	200	
008811	SPAN	300	
015245	SOCL	200	
002396	CITY	200	
006851	PHYS	100	
008469	SOCL	200	
005290	HIST	300	
003412	ENGL	100	
003552	ENGL	300	
012107	SOCL	200	
001165	ANTH	200	
009304	HIST	300	
003508	ENGL	300	
001206	ANTH	200	
010949	ENGL	200	
015246	PSYC	200	
007368	PSYC	100	
009270	ENGL	200	
003454	ENGL	200	
001763	ARTW	200	
003565	ENGL	300	
004275	GEOL	100	
013210	LATN	100	
002992	ECON	100	
012303	SPAN	200	
013185	SOCL	300	
001158	ANTH	200	
003440	ENGL	200	
010842	CMSC	300	
013616	ECON	300	
012334	ANTH	300	
008774	SPAN	200	
006034	MATH	200	
013213	ARAB	000	
002875	CSTS	200	
013642	POLS	200	
006523	PHIL	200	
014979	ITAL	200	
008769	SPAN	100	
006031	MATH	200	
011308	CHEM	100	
001443	ARCH	200	
004016	FREN	100	
012765	EAST	200	
015000	PHYS	100	
015001	PHYS	100	
001750	ARTT	200	
006054	MATH	300	
014114	CNSE	000	
007370	PSYC	200	
005258	HIST	300	
004803	HART	100	
014548	CHEM	100	
007006	POLS	100	
003033	ECON	300	
002182	CHEM	300	
013160	ARCH	200	
002409	CITY	200	
013161	CITY	200	
003001	ECON	200	
014628	POLS	200	
002415	CITY	200	
015242	EDUC	200	
015251	MATH	100	
012339	POLS	200	
001429	ARCH	200	
011987	GREK	000	
004356	GERM	000	LANG
013439	COML	200	
004036	FREN	200	
005272	HIST	300	
006519	PHIL	200	
002562	CMSC	100	
005196	HIST	200	
001881	BIOL	300	
005846	LATN	000	LANG
002151	CHEM	100	
007032	POLS	200	
004015	FREN	100	
006562	PHIL	300	
008773	SPAN	200	
003017	ECON	200	
006559	PHIL	300	
013783	CSTS	200	
005727	ITAL	200	
003406	ENGL	100	
006860	PHYS	200	
001747	ARTT	100	
006504	PHIL	100	
001424	ARCH	100	
004010	FREN	000	LANG
012734	RUSS	300	
008439	SOCL	200	
013172	ENGL	200	
006518	PHIL	200	
012099	HART	200	
005228	HIST	200	
014997	PHYS	100	
007878	RUSS	000	LANG
014138	HIST	100	
009263	EAST	200	
015249	CSTS	100	
013167	ENGL	200	
007903	RUSS	200	
005120	HEBR	000	LANG
003005	ECON	200	
007926	RUSS	300	
015247	RUSS	300	
010968	EAST	300	
007404	PSYC	300	
005282	HIST	300	
003275	EDUC	200	
011296	RUSS	200	
006582	PHIL	300	
001182	ANTH	200	
004872	HART	300	
007923	RUSS	300	
014996	PHYS	100	
005154	HIST	200	
015014	ARTD	100	
002464	CITY	300	
005176	HIST	200	
007007	POLS	100	
002379	CITY	200	
015006	SPAN	200	
007888	RUSS	200	
004838	HART	200	
013636	ECON	200	
013915	CMSC	300	
002398	CITY	200	
013925	HIST	200	
007407	PSYC	300	
006534	PHIL	200	
013924	EAST	200	
004810	HART	100	
002465	CITY	300	
003500	ENGL	200	
015013	CNSE	000	
014969	CITY	300	
005734	ITAL	200	
001552	ARTD	200	
010851	MATH	200	
005210	HIST	200	
001752	ARTT	200	
012431	CITY	200	
005137	HEBR	200	
015260	SOWK	300	
006019	MATH	000	
009321	PHIL	200	
011307	SOCL	200	
001562	ARTD	300	
012354	ARTD	300	
012837	HART	200	
011050	EDUC	200	
003407	ENGL	100	
009233	CITY	200	
005224	HIST	200	
013645	GNST	100	
007041	POLS	200	
010860	PHYS	300	
013162	HART	200	
005198	HIST	200	
002448	CITY	300	
005162	HIST	200	
014987	HIST	100	
015015	ARTD	100	
006553	PHIL	300	
003465	ENGL	200	
012352	ARTD	200	
015308	EAST	200	
002663	COML	200	
015005	COML	200	
003450	ENGL	200	
008450	SOCL	200	
005191	HIST	200	
001751	ARTT	200	
004372	GERM	200	
005741	ITAL	300	
012813	COML	200	
011198	ARTT	300	
012353	ARTD	200	
002401	CITY	200	
013648	SOWK	300	
013342	HART	200	
001559	ARTD	300	
012355	ARTD	300	
002420	CITY	200	
004362	GERM	200	
008470	SOCL	200	
012503	CITY	200	
Teachers	175
3452118	001837
3415849	002153 002187 002163
3646602	006847
1168592	012832
3896857	015106
0409956	001851 014570
0428728	008770 008764
3577231	014984 014571
0029475	009303 009233
1020104	013182 001158 005154 014987
0024092	003573 003508 013172
0820103	015113 007375 015246
0987494	007374 001896 007404
0162977	007396 007368
0138190	004394 015011 004872 009321 004372
0135660	001249 001152
1165566	004306 004282
0031573	007087 006523 007032 006562
3764395	003029 002992
0375562	003031 013614 013616
0431946	003478 007904 007888 007925
0031373	004889 004865 004803 002448
0672202	011313
0207327	006043 006060 011223
1167884	006874
3209393	014570 014571
3470325	002879 013210
3460008	001749 001757
3098022	001474
0056992	001843 001881
0162976	007128 007040 007041
0847593	004377 004356 004397 012431 012813
3195964	014993 013642
3555100	005157 012839 005290 013783
3648007	005723 005727
0468281	002713 013439 007903 011296
3818518	003444 015006 015005
3092941	013170 003454
3818521	004290 011865
0180723	002178 002187 011309 011308
3420576	012326 014204 008469 012339
0802802	004285 002379
0492451	013191
0031631	015243 007407
1167978	015244
0428815	002166 011827 014548
0995587	003514
0029059	011305
3459335	001899 013627
0402773	006847 006851 015000 015001
3786642	015248
1083806	002161 002187
0899465	014982 008770
1051497	002368 002415 004810
1137952	002403 005272 005191
0031522	007377 014865 014866
3554385	008764 008769
1061058	009225 003406
0431634	006026 011223
1141520	006036 006019
3393853	011319
0697660	002412 004838
0031756	001551 001563 012354 001559
1167863	001871 002182
3792642	002571 002564 006582
0254151	013659 001152 001206
0031388	001187 001176 012334
0775640	010966
3839982	006035 006031
0125630	008467
0893542	013641 013640
0898918	001893 013193
3575049	013997 014628
0031572	008821 008774
3212821	013059 015249
0004950	002187
3818982	003532
3646540	004020 004051
3332662	013147 013146 003017 002401
3897776	002153 002151
0162987	002153 002151
3392421	005725 014979 005745
3393009	012103
3448653	012818 005228 014969
