Class Times	79
1	12:00 PM  1:00 PM MWF
2	 4:00 PM  5:30 PM TTH
3	 7:00 PM  9:00 PM MW
4	 6:30 PM  9:15 PM T
5	 1:00 PM  3:30 PM TH
6	 2:00 PM  4:00 PM W
7	10:00 AM 11:00 AM MWF
8	 9:45 AM 11:15 AM TTH
9	 1:00 PM  4:00 PM F
10	 2:30 PM  4:00 PM M
11	11:30 AM  1:00 PM MW
12	 2:15 PM  3:45 PM TTH
13	 1:00 PM  4:00 PM MW
14	 1:00 PM  4:00 PM T
15	 9:00 AM 10:00 AM MWF
16	 2:00 PM  4:00 PM T
17	 7:00 PM 10:00 PM M
18	 2:00 PM  4:00 PM M
19	11:00 AM 12:00 PM MWF
20	 7:00 PM  9:00 PM T
21	12:45 PM  2:15 PM TTH
22	 1:00 PM  3:30 PM F
23	12:00 PM  2:00 PM F
24	 7:00 PM  9:30 PM M
25	 1:00 PM  4:00 PM W
26	 2:30 PM  4:00 PM MW
27	 1:00 PM  2:30 PM W
28	11:15 AM 12:45 PM TTH
29	 2:00 PM  5:30 PM T
30	 1:00 PM  2:30 PM MW
31	 8:15 AM  9:45 AM TTH
32	 2:00 PM  4:00 PM TH
33	12:00 PM  2:00 PM T
34	10:00 AM 11:30 AM MW
35	 7:00 PM  9:00 PM M
36	 1:45 PM  3:45 PM M
37	 7:00 PM 10:00 PM T
38	 6:00 PM  8:00 PM M
39	12:00 PM  2:00 PM W
40	 4:00 PM  6:00 PM M
41	 2:00 PM  5:30 PM M
42	 2:15 PM  3:45 PM TH
43	 1:00 PM  2:00 PM MWF
44	 8:00 AM  9:30 AM MW
45	12:00 PM  1:00 PM MW
46	 1:00 PM  3:00 PM TH
47	 1:00 PM  4:00 PM TTH
48	 1:00 PM  4:30 PM W
49	 1:00 PM  4:00 PM M
50	 8:00 AM  9:00 AM MWF
51	 1:30 PM  4:30 PM T
52	 1:00 PM  4:30 PM TH
53	 2:15 PM  3:45 PM T
54	 4:00 PM  7:00 PM W
55	11:00 AM  1:20 PM T
56	10:45 AM 12:45 PM T
57	 1:00 PM  3:30 PM W
58	 2:00 PM  4:00 PM MW
59	 4:00 PM  5:30 PM T
60	 2:40 PM  5:00 PM T
61	11:00 AM  1:00 PM W
62	 1:00 PM  3:00 PM T
63	 1:15 PM  3:15 PM W
64	 2:30 PM  4:00 PM W
65	 1:00 PM  3:30 PM T
66	12:00 PM  2:00 PM M
67	 5:00 PM  6:00 PM W
68	10:45 AM 12:45 PM TH
69	 1:00 PM  2:00 PM MW
70	 4:00 PM  5:30 PM MW
