Class Times	77
1	 1:00 PM  2:30 PM MW
2	 9:00 AM 10:00 AM MWF
3	 1:00 PM  4:00 PM T
4	11:15 AM 12:45 PM TTH
5	12:45 PM  2:15 PM TTH
6	10:00 AM 11:00 AM MWF
7	 8:15 AM  9:45 AM TTH
8	 9:45 AM 11:15 AM TTH
9	 2:30 PM  4:00 PM MW
10	 1:00 PM  3:30 PM M
11	10:00 AM 11:30 AM MW
12	11:30 AM  1:00 PM MW
13	 2:00 PM  4:00 PM W
14	12:00 PM  2:00 PM W
15	12:00 PM  1:00 PM MWF
16	 1:00 PM  3:30 PM TH
17	 1:00 PM  4:00 PM M
18	 2:00 PM  4:00 PM M
19	 7:00 PM  9:00 PM T
20	 1:00 PM  4:00 PM F
21	 2:15 PM  3:45 PM TTH
22	 1:00 PM  3:30 PM W
23	 7:00 PM 10:00 PM T
24	11:00 AM 12:00 PM MWF
25	 1:00 PM  2:30 PM F
26	 1:00 PM  3:00 PM T
27	 1:00 PM  4:00 PM TH
28	 1:00 PM  2:00 PM W
29	 7:00 PM 10:00 PM M
30	 1:00 PM  2:30 PM W
31	 2:15 PM  3:45 PM TH
32	11:00 AM  1:20 PM T
33	 1:00 PM  3:30 PM F
34	 1:30 PM  4:00 PM TH
35	 1:00 PM  2:00 PM T
36	 1:00 PM  2:00 PM MWF
37	 1:00 PM  4:00 PM W
38	 2:00 PM  4:00 PM TH
39	 2:00 PM  4:00 PM T
40	 7:00 PM  9:00 PM MW
41	12:00 PM  2:00 PM F
42	 1:00 PM  4:30 PM W
43	 1:00 PM  3:30 PM T
44	 1:00 PM  2:00 PM TH
45	 1:45 PM  3:45 PM M
46	 1:00 PM  2:00 PM M
47	10:45 AM 12:45 PM T
48	 7:00 PM  9:00 PM M
49	 1:30 PM  4:30 PM T
50	 4:00 PM  5:30 PM TTH
51	 4:00 PM  6:00 PM M
52	12:00 PM  2:00 PM TH
53	 7:00 PM  9:30 PM M
54	 2:00 PM  5:30 PM M
55	 1:00 PM  3:00 PM TH
56	11:00 AM  1:20 PM W
57	 8:00 AM  9:00 AM MWF
58	 2:00 PM  4:00 PM F
59	 2:00 PM  5:30 PM T
60	12:00 PM  2:00 PM M
61	 1:00 PM  4:30 PM TH
62	 1:15 PM  3:15 PM W
63	 8:00 PM  9:30 PM TTH
64	 6:30 PM  9:15 PM T
65	 0:00 AM  0:00 AM MWF
66	11:00 AM  1:00 PM W
67	 4:00 PM  6:00 PM T
68	12:00 PM  4:00 PM TH
69	 2:15 PM  4:00 PM T
70	 9:45 AM 11:15 AM TH
71	12:00 PM  1:00 PM MW
72	 2:00 PM  3:00 PM MWF
73	 3:00 PM  4:00 PM MW
74	 4:00 PM  5:30 PM MW
75	 5:30 PM  8:00 PM T
76	 7:00 PM  9:00 PM TH
77	 7:00 PM  8:30 PM M
Rooms	76
EHI	18
PK338	55
TH116	38
TAYG	33
DAL2	22
TH129	13
CARP25	23
PK25	27
TH102	19
PK20	174
TH104	25
TH110	78
TAYC	21
DAL212A	23
DAL6	20
EHII	17
PK229	30
DAL25	18
PK259	18
DAL10	20
PK349	73
CARP21	66
EHLEC	20
BYC100	5
TH111	18
TAYB	17
DAL300	37
TAYD	37
PK336	29
TAYF	30
PK180	73
TH224	49
EHIII	14
TAYE	44
GOCOM	9
PK328	19
PK243	65
PK234	45
DAL119	28
PK278	72
PK337	14
SW8	4
PK227	16
TH118	11
BYC127	28
TAYSEM	5
RCCON	10
RCSEM	6
DAL1	18
PEMSTD	7
PK126	21
BYC106	15
PK200	13
CARP15	14
RODESIGN	6
PK179	37
BYC239	9
PK10	14
GOSCENE	17
DAL212E	9
CARP13	12
CARP17	12
SW7	4
TH223	4
DAL315	6
GOB	21
DAL20	12
PK154	8
SW3	3
TH251	5
PK247	5
PK354	11
CAN205	14
ROSTUD	10
PK264	7
CANMEDIA	4
Classes	332
013176	ENGL	200	
006026	MATH	100	
005723	ITAL	000	LANG
001213	ANTH	300	
015513	ANTH	200	
002929	EAST	200	
004807	HART	100	
004276	GEOL	100	
006045	MATH	300	
005846	LATN	000	LANG
014570	BIOL	100	
015666	HEBR	100	
013613	ECON	200	
005739	ITAL	200	
015674	CITY	300	
015675	RUSS	200	
015676	PSYC	200	
007128	POLS	300	
004048	FREN	300	
002368	CITY	100	
015106	CITY	300	
015406	ENGL	300	
001899	BIOL	300	
007393	PSYC	300	
012291	BIOL	300	
001249	ANTH	300	
011223	MATH	300	
009304	HIST	300	
001766	ARTW	200	
007375	PSYC	200	
015665	ENGL	300	
006546	PHIL	300	
015679	HART	300	
006031	MATH	200	
008484	SOCL	300	
004015	FREN	100	
001152	ANTH	100	
004016	FREN	100	
014571	BIOL	100	
008770	SPAN	100	
006034	MATH	200	
008764	SPAN	000	LANG
