Class Times	65
1	 7:00 PM  9:30 PM T
2	 2:00 PM  4:00 PM M
3	 1:00 PM  4:00 PM TTH
4	 2:30 PM  4:00 PM TTH
5	 1:00 PM  2:30 PM TTH
6	10:00 AM 11:00 AM MWF
7	 9:00 AM 10:00 AM MWF
8	10:00 AM 11:30 AM MW
9	 2:30 PM  4:00 PM M
10	10:00 AM 12:00 PM F
11	11:30 AM  1:00 PM TTH
12	 9:00 AM 10:00 AM M-F
13	 2:00 PM  3:00 PM M
14	11:30 AM  1:00 PM MW
15	 6:00 PM  8:30 PM M
16	 1:00 PM  3:30 PM T
17	10:00 AM 11:00 AM M-F
18	 1:30 PM  4:00 PM W
19	 1:00 PM  2:30 PM MW
20	 7:00 PM 10:00 PM T
21	 2:00 PM  4:00 PM T
22	 2:00 PM  4:00 PM TH
23	11:00 AM 12:00 PM MWF
24	10:00 AM 11:30 AM TTH
25	 8:30 AM 10:00 AM TTH
26	 2:30 PM  4:00 PM MW
27	 1:30 PM  2:30 PM W
28	12:00 PM  1:00 PM MWF
29	 1:00 PM  2:00 PM T
30	 1:00 PM  4:00 PM M
31	 6:30 PM  9:00 PM T
32	11:00 AM  1:20 PM T
33	 1:00 PM  4:00 PM W
34	 2:00 PM  3:00 PM MWF
35	 7:00 PM 10:00 PM M
36	12:00 PM  2:30 PM W
37	 1:00 PM  4:00 PM F
38	 2:00 PM  4:00 PM F
39	 7:00 PM  9:30 PM M
40	 2:00 PM  4:00 PM W
41	 1:00 PM  4:00 PM TH
42	 2:00 PM  5:00 PM F
43	 3:00 PM  5:00 PM T
44	 2:00 PM  5:00 PM T
45	 3:00 PM  5:00 PM M
46	 1:00 PM  4:00 PM T
47	 1:00 PM  3:30 PM TH
48	 1:00 PM  3:00 PM M
49	10:00 AM  1:00 PM T
50	12:00 PM  2:00 PM W
51	 1:00 PM  2:00 PM W
52	 1:30 PM  4:30 PM T
53	 8:00 AM  9:00 AM M-F
54	 4:00 PM  5:30 PM TTH
55	 7:00 PM  8:30 PM TH
56	 7:30 PM  9:00 PM T
57	 1:00 PM  2:00 PM M
58	 7:00 PM  9:00 PM MW
59	 6:30 PM  9:30 PM M
60	12:00 PM  4:00 PM MF
61	 4:00 PM  5:30 PM MW
62	 1:00 PM  2:00 PM MWF
63	 1:00 PM  2:00 PM TH
64	 2:00 PM  3:30 PM F
65	 4:30 PM  5:45 PM TH
Rooms	67
TAYF	35
DAL212A	22
PK10	10
PK243	54
PK338	68
BYC127	34
TH111	19
DAL300	84
CARP21	33
TAYE	19
DAL315	15
DAL25	16
PK229	34
DAL2	21
EHI	17
BYC239	2
DAL1	13
RCCON	15
TAYG	26
TH104	28
TAYD	24
CARP13	18
PK126	21
PK227	14
EHLEC	29
PK278	100
PK264	12
TH224	25
PK25	40
PK180	36
PK241	32
GOB	26
SW7	2
PK100	40
DAL119	25
PK259	14
CARP25	23
DAL10	8
EHII	24
CARP17	8
EHIII	13
TAYB	22
PK336	23
TH121	5
GOCOM	12
PK349	27
PK328	7
PK127	5
PK274	11
BYC106	16
DAL6	2
TH102	15
RCSEM	5
TAYC	13
TH251	8
GOAUD	14
PEMSTD	18
PK337	7
TH110	49
CARP15	9
PK20	153
ROSTUD	7
PK230	9
TH223	3
SW8	5
DAL212E	3
TAYSEM	10
Classes	311
011834	RUSS	200	
001249	ANTH	300	
011208	GEOL	200	
002562	CMSC	100	
003406	ENGL	100	
006024	MATH	100	
008770	SPAN	100	
014124	CSTS	200	
002368	CITY	100	
002470	CITY	300	
011313	HART	200	
014228	ITAL	000	LANG
001165	ANTH	200	
001176	ANTH	200	
012293	ANTH	200	
006026	MATH	100	
014206	ENGL	300	
003278	EDUC	300	
011844	ANTH	200	
007888	RUSS	200	
007040	POLS	200	
013146	ECON	200	
001157	ANTH	100	
002397	CITY	200	
004010	FREN	000	LANG
014384	EDUC	200	
004888	HART	300	
011187	HART	300	
014207	HART	300	
013193	BIOL	300	
013627	BIOL	200	
013921	BIOL	200	
001843	BIOL	200	
003472	ENGL	200	
013167	ENGL	200	
002163	CHEM	200	
002182	CHEM	300	
011827	CHEM	200	
014116	ARCH	200	
001837	BIOL	100	
002153	CHEM	100	
006847	PHYS	100	
002464	CITY	300	
012832	CITY	300	
010935	ARTD	200	
013649	SOWK	300	
008470	SOCL	200	
014213	SOCL	200	
