Class Times	66
1	12:00 PM  1:00 PM MWF
2	 1:00 PM  2:30 PM MW
3	 2:00 PM  4:00 PM W
4	 1:00 PM  4:00 PM T
5	 9:45 AM 11:15 AM TTH
6	10:00 AM 11:00 AM MWF
7	11:00 AM 12:00 PM MWF
8	 8:15 AM  9:45 AM TTH
9	 1:00 PM  4:00 PM TH
10	 1:00 PM  3:00 PM TH
11	 1:00 PM  3:00 PM MF
12	12:00 PM  2:00 PM TH
13	10:00 AM 11:30 AM MW
14	11:15 AM 12:45 PM TTH
15	 2:00 PM  4:00 PM M
16	10:00 AM 12:00 PM M
17	 9:00 AM 10:00 AM MWF
18	11:30 AM  1:00 PM MW
19	12:00 PM  2:00 PM M
20	 1:00 PM  4:00 PM W
21	 2:30 PM  4:00 PM MW
22	 1:00 PM  4:00 PM M
23	12:45 PM  2:15 PM TTH
24	 1:00 PM  3:30 PM W
25	11:00 AM  1:00 PM W
26	 7:00 PM 10:00 PM M
27	 1:00 PM  3:30 PM TH
28	 2:00 PM  4:00 PM TH
29	 2:15 PM  3:45 PM TTH
30	 7:00 PM 10:00 PM T
31	 2:00 PM  4:00 PM T
32	 1:30 PM  4:00 PM TH
33	 2:00 PM  4:00 PM F
34	 1:00 PM  4:00 PM MW
35	 1:00 PM  4:00 PM TTH
36	 6:30 PM  9:15 PM M
37	 7:00 PM  9:00 PM T
38	12:00 PM  4:00 PM MF
39	 1:00 PM  2:00 PM T
40	 1:30 PM  2:30 PM W
41	 1:00 PM  3:30 PM T
42	12:00 PM  2:00 PM W
43	 4:00 PM  5:30 PM MW
44	 1:00 PM  2:00 PM TH
45	10:00 AM  1:00 PM T
46	 1:00 PM  2:00 PM MWF
47	 1:00 PM  2:00 PM W
48	12:00 PM  2:00 PM F
49	 1:30 PM  4:30 PM T
50	 1:00 PM  4:00 PM F
51	 1:00 PM  2:00 PM M
52	 8:00 PM  9:30 PM TTH
53	 8:00 AM  9:00 AM MWF
54	 2:00 PM  3:30 PM F
55	 1:00 PM  3:30 PM M
56	 3:45 PM  5:15 PM TTH
57	11:00 AM  1:20 PM T
58	 2:30 PM  4:00 PM TTH
59	11:00 AM  1:00 PM F
60	 7:30 PM  9:00 PM T
61	 5:00 PM  6:30 PM MW
62	 7:00 PM  9:00 PM MW
63	 2:30 PM  4:00 PM TH
64	 5:30 PM  8:00 PM T
65	 7:00 PM  8:30 PM TH
66	 9:00 AM 12:00 PM W
Rooms	67
PK336	18
PK328	7
DAL2	26
DAL1	18
PK20	152
PK180	46
PK243	53
PK241	50
PK200	7
PK259	16
DAL315	14
TAYSEM	10
DAL300	64
EHII	19
EHI	16
CARP25	22
GOB	27
PK354	12
TAYF	30
PK229	8
PK349	26
TAYG	22
DAL25	17
BYC127	36
PK10	11
EHLEC	26
TH111	21
CARP21	69
PK227	10
CARP17	8
RCSEM	5
PK338	83
CARP15	16
PK337	25
TH121	13
TAYB	25
DAL20	6
DAL212E	11
TAYD	26
DAL212A	16
GOCOM	15
EHIII	13
DAL6	8
TH224	21
TAYE	29
DAL119	28
PK127	11
PK264	11
DAL10	18
RCCON	11
TH223	5
TH251	7
BYC239	9
PK154	10
PK278	42
PK25	51
PK100	49
TH110	48
CARP13	8
TAYC	14
PEMSTD	24
BYC100	4
GOAUD	7
SW3	2
BYC106	4
ROSTUD	6
PK11	10
Classes	324
006043	MATH	300	
006060	MATH	300	
007128	POLS	300	
013997	POLS	300	
014628	POLS	200	
001837	BIOL	100	
002161	CHEM	200	
006847	PHYS	100	
004293	GEOL	300	
004306	GEOL	300	
011865	GEOL	300	
001243	ANTH	300	
002450	CITY	300	
009386	ANTH	200	
001765	ARTW	200	
010965	ENGL	300	
001249	ANTH	300	
002872	CSTS	200	
001235	ANTH	300	
008764	SPAN	000	LANG
001857	BIOL	300	
011219	CMSC	300	
003270	EDUC	200	
010845	ENGL	300	
006565	PHIL	300	
008770	SPAN	100	
011294	ANTH	300	
014786	BIOL	300	
003459	ENGL	200	
003548	ENGL	300	
013616	ECON	300	
007370	PSYC	200	
014218	SOCL	200	
002397	CITY	200	
002414	CITY	200	
001861	BIOL	300	
004840	HART	200	
014787	HART	200	
007926	RUSS	300	
004282	GEOL	200	
006035	MATH	200	
004015	FREN	100	
007923	RUSS	300	
004885	HART	300	
003543	ENGL	300	
006868	PHYS	300	
006588	PHIL	300	
004360	GERM	100	
010977	EDUC	300	
011187	HART	300	
005263	HIST	300	
006031	MATH	200	
006045	MATH	300	
010851	MATH	200	
002562	CMSC	100	
014570	BIOL	100	
014571	BIOL	100	
012832	CITY	300	
008810	SPAN	300	
014550	EDUC	200	
001242	ANTH	300	
005741	ITAL	300	
002876	CSTS	200	
007368	PSYC	100	
013190	HIST	100	
014121	HIST	200	
014781	EAST	300	
013176	ENGL	200	
013632	ENGL	200	
007380	PSYC	200	
001899	BIOL	300	
004065	FREN	300	
005197	HIST	200	
011829	GEOL	300	
001749	ARTT	200	
001770	ARTW	300	
004389	GERM	300	
004394	GERM	300	
013781	HART	200	
014866	PSYC	100	
007106	POLS	300	
003491	ENGL	200	
004889	HART	300	
002469	CITY	300	
012325	SOCL	200	
001474	ARCH	300	
001455	ARCH	300	
004869	HART	300	
004356	GERM	000	LANG
010725	ENGL	200	
003019	ECON	200	
009362	SOCL	200	
008769	SPAN	100	
014634	POLS	300	
003001	ECON	200	
006026	MATH	100	
013921	BIOL	200	
006502	PHIL	100	
006872	PHYS	300	
011963	BIOL	300	
012227	POLS	100	
014669	CSTS	200	
005228	HIST	200	
008442	SOCL	200	
012289	BIOL	300	
014865	PSYC	100	
002178	CHEM	300	
013213	ARAB	000	
011312	SOCL	300	
012326	SOCL	200	
012338	CITY	300	
006860	PHYS	200	
014788	RUSS	100	
014789	RUSS	100	
004066	FREN	300	
011190	BIOL	200	
013059	LATN	300	
006047	MATH	300	
004806	HART	100	
011313	HART	200	
004852	HART	200	
013774	ENGL	200	
002700	COML	300	
003006	ECON	200	
009225	ARTW	100	
014784	ARTD	200	
014631	ARCH	100	
014632	ARCH	100	
002572	CMSC	300	
009342	PSYC	300	
010944	PHIL	300	
011844	ANTH	200	
006034	MATH	200	
013647	ECON	300	
002390	CITY	200	
012339	POLS	200	
006518	PHIL	200	
007375	PSYC	200	
011298	ENGL	200	
007378	PSYC	200	
009335	POLS	300	
