Class Times	78
1	 9:00 AM 10:00 AM MWF
2	 1:00 PM  4:00 PM M
3	11:00 AM 12:00 PM MWF
4	12:45 PM  2:15 PM TTH
5	 8:15 AM  9:45 AM TTH
6	 1:00 PM  2:30 PM MW
7	10:00 AM 11:30 AM MW
8	 1:00 PM  4:00 PM T
9	 7:00 PM 10:00 PM T
10	 9:45 AM 11:15 AM TTH
11	 2:00 PM  4:00 PM T
12	 2:00 PM  4:00 PM TH
13	10:00 AM 11:00 AM MWF
14	11:30 AM  1:00 PM MW
15	12:00 PM  2:00 PM F
16	 2:00 PM  5:30 PM T
17	 1:00 PM  4:00 PM W
18	12:00 PM  2:00 PM M
19	11:15 AM 12:45 PM TTH
20	 1:00 PM  3:00 PM W
21	 2:30 PM  4:00 PM M
22	 2:00 PM  4:00 PM F
23	 2:00 PM  4:00 PM M
24	 7:00 PM  9:30 PM T
25	 1:00 PM  3:30 PM W
26	 7:00 PM  9:00 PM W
27	 2:30 PM  4:00 PM MW
28	 1:00 PM  2:30 PM W
29	 1:00 PM  3:30 PM T
30	12:00 PM  2:00 PM W
31	 2:00 PM  4:00 PM W
32	 7:00 PM 10:00 PM M
33	 1:00 PM  4:30 PM W
34	 1:00 PM  2:00 PM M
35	 1:00 PM  3:30 PM TH
36	 2:15 PM  3:45 PM TTH
37	 4:00 PM  5:30 PM T
38	 7:00 PM  9:00 PM T
39	12:00 PM  1:00 PM MWF
40	 1:00 PM  4:00 PM TH
41	 2:30 PM  4:00 PM W
42	 1:00 PM  4:00 PM TTH
43	12:00 PM  2:00 PM TH
44	 2:00 PM  5:30 PM M
45	 1:00 PM  3:00 PM T
46	 1:45 PM  3:45 PM M
47	 1:30 PM  4:30 PM T
48	 1:00 PM  4:30 PM TH
49	 2:00 PM  3:30 PM T
50	 1:00 PM  3:30 PM F
51	 7:00 PM  9:00 PM M
52	 1:00 PM  4:00 PM F
53	 4:00 PM  5:00 PM W
54	 1:00 PM  2:00 PM W
55	12:45 PM  2:00 PM T
56	 9:00 AM 12:30 PM T
57	 1:00 PM  2:00 PM T
58	 6:00 PM  7:00 PM W
59	 4:00 PM  6:00 PM M
60	 4:30 PM  6:00 PM TH
61	10:45 AM 12:45 PM T
62	 1:00 PM  2:00 PM MW
63	 3:00 PM  4:30 PM F
64	12:00 PM  1:00 PM MW
65	 7:00 PM  9:00 PM MW
66	 1:00 PM  3:00 PM TH
67	 3:30 PM  5:30 PM TH
68	 9:00 AM 12:30 PM TH
69	 7:00 PM  8:00 PM T
70	 4:00 PM  5:30 PM TTH
71	10:45 AM 12:45 PM W
72	 7:00 PM  8:00 PM TH
73	 2:30 PM  4:00 PM TTH
74	 5:30 PM  7:00 PM MW
75	 1:00 PM  2:30 PM F
76	 2:30 PM  4:00 PM F
77	 4:00 PM  5:30 PM W
78	 7:00 PM  8:30 PM TTH
Rooms	69
DAL25	24
TAYE	23
TH102	17
DAL300	48
TH110	29
DAL212A	21
BYC127	28
PK259	14
PK10	7
CARP15	12
ROSTUD	11
EHII	31
TH111	29
TH224	46
DAL1	14
DAL20	12
PK25	65
PK179	64
PK200	18
TH223	10
EHI	16
PK229	32
PK243	58
PK234	57
TH116	26
EHLEC	34
DAL6	11
GOB	10
DAL2	22
TH118	12
PK278	75
PK336	52
DAL119	52
PK328	22
CARP25	46
TH104	26
CARP21	64
DAL315	61
TAYG	24
TAYSEM	11
PK337	7
PK180	29
EHIII	15
BYC239	12
TH129	8
TAYB	32
PK338	71
PK349	111
BYC100	12
PK354	12
CARP13	10
TAYD	25
PK100	20
DAL212E	12
TAYF	36
DAL10	9
PK20	184
PK264	9
PK227	2
GOCOM	15
RCSEM	12
PEMSTD	8
TH251	15
BYC106	15
TAYC	15
RCCON	12
CARP17	2
CAN205	9
GOHEP	4
Classes	320
004355	GERM	000	LANG
015865	EDUC	200	
005847	LATN	100	
007010	POLS	200	
013613	ECON	200	
007380	PSYC	200	
014534	PSYC	200	
001844	BIOL	200	
001894	BIOL	300	
013918	ITAL	200	
001753	ARTT	200	
001767	ARTW	200	
008770	SPAN	100	
015246	PSYC	200	
002472	CITY	300	
014969	CITY	300	
015501	CITY	200	
002160	CHEM	200	
008427	SOCL	200	
008500	SOCL	300	
001473	ARCH	300	
011865	GEOL	300	
005310	HIST	300	
004279	GEOL	200	
001899	BIOL	300	
015830	FREN	200	
001839	BIOL	200	
006846	PHYS	100	
008778	SPAN	200	
003469	ENGL	200	
003474	ENGL	300	
003572	ENGL	300	
002878	CSTS	300	
014125	CSTS	100	
001248	ANTH	300	
014785	ANTH	200	
015837	ANTH	200	
015840	ANTH	300	
008824	SPAN	300	
008812	SPAN	300	
013192	BIOL	300	
006573	PHIL	300	
006042	MATH	300	
011310	MATH	300	
008479	SOCL	300	
003275	EDUC	200	
006044	MATH	300	
006059	MATH	300	
010844	EDUC	200	
007377	PSYC	200	
008420	SOCL	100	
001847	BIOL	200	
005845	LATN	000	LANG
013164	CSTS	200	
013635	EAST	200	
002367	CITY	100	
001151	ANTH	100	
011294	ANTH	300	
015115	PSYC	300	
002166	CHEM	200	
007125	POLS	300	
007127	POLS	300	
014551	EDUC	200	
015420	POLS	300	
011838	SOCL	200	
004065	FREN	300	
002182	CHEM	300	
011826	CHEM	200	
012895	PSYC	300	
006867	PHYS	300	
001840	BIOL	200	
002151	CHEM	100	
004888	HART	300	
004082	FREN	300	
015841	ANTH	200	
001768	ARTW	200	
003533	ENGL	300	
004725	GNST	200	
014542	ANTH	300	
007026	POLS	200	
011035	LING	100	
006508	PHIL	200	
012291	BIOL	300	
011531	HART	200	
012729	HART	300	
002951	EAST	300	
012665	ECON	300	
015891	ECON	200	
012034	ANTH	200	
015876	ITAL	300	
004739	GREK	200	
015877	HART	300	
013636	ECON	200	
006026	MATH	100	
002562	CMSC	100	
010851	MATH	200	
015851	PSYC	300	
015422	SOCL	300	
015512	ANTH	200	
015859	SOCL	300	
002162	CHEM	200	
003454	ENGL	200	
012886	CSTS	300	
005215	HIST	200	
013620	HIST	100	
004036	FREN	200	
011528	ENGL	200	
005258	HIST	300	
007060	POLS	300	
004013	FREN	000	
004840	HART	200	
006587	PHIL	300	
014784	ARTD	200	
002415	CITY	200	
004280	GEOL	200	
003427	ENGL	200	
003554	ENGL	300	
013214	HIST	200	
013616	ECON	300	
004283	GEOL	200	
