Class Times	74
1	11:40 AM  1:00 PM MW
2	 2:40 PM  4:00 PM M
3	 1:10 PM  2:30 PM MW
4	 2:40 PM  4:00 PM MW
5	12:10 PM  2:00 PM W
6	 2:25 PM  3:45 PM TTH
7	 9:55 AM 11:15 AM TTH
8	 7:10 PM  9:00 PM M
9	 2:10 PM  4:00 PM M
10	11:10 AM 12:00 PM MWF
11	 1:40 PM  4:00 PM TH
12	12:10 PM  1:00 PM MWF
13	10:10 AM 11:30 AM MW
14	 2:10 PM  4:00 PM T
15	 1:10 PM  4:00 PM W
16	10:10 AM 11:00 AM MWF
17	 1:10 PM  4:00 PM T
18	12:10 PM  2:00 PM M
19	 1:10 PM  4:00 PM M
20	12:55 PM  2:15 PM TTH
21	 2:10 PM  4:00 PM F
22	 2:10 PM  4:00 PM W
23	 7:10 PM 10:00 PM T
24	11:25 AM 12:45 PM TTH
25	 8:25 AM  9:45 AM TTH
26	 9:10 AM 10:00 AM MWF
27	 1:10 PM  3:00 PM TH
28	 7:10 PM 10:00 PM M
29	 7:10 PM  9:00 PM T
30	 7:10 PM  9:30 PM T
31	12:10 PM  2:00 PM TH
32	 1:10 PM  3:00 PM T
33	 1:10 PM  3:30 PM F
34	 2:10 PM  4:00 PM TH
35	 1:10 PM  3:30 PM W
36	 1:10 PM  4:00 PM TTH
37	 1:10 PM  4:30 PM TH
38	 1:10 PM  4:30 PM W
39	 1:55 PM  3:45 PM M
40	 1:10 PM  2:30 PM W
41	 1:10 PM  4:30 PM M
42	 2:10 PM  5:30 PM T
43	 1:40 PM  4:30 PM T
44	 1:10 PM  2:00 PM M
45	 8:10 AM  9:00 AM MWF
46	 1:10 PM  4:00 PM F
47	 4:10 PM  5:00 PM W
48	 1:10 PM  2:00 PM T
49	 4:10 PM  5:30 PM TTH
50	 4:10 PM  5:30 PM MW
51	10:55 AM 12:45 PM T
52	 1:10 PM  2:30 PM F
53	 1:10 PM  4:00 PM TH
54	 7:10 PM  9:00 PM MW
55	 9:10 AM 12:30 PM T
56	10:55 AM 12:45 PM TH
57	 4:10 PM  6:00 PM M
58	12:10 PM  1:00 PM MW
59	 5:40 PM  7:00 PM MW
60	 1:10 PM  2:00 PM W
61	 1:10 PM  3:00 PM F
62	12:10 PM  2:00 PM T
63	12:10 PM  2:00 PM F
64	 9:10 AM 12:30 PM TH
65	 9:55 AM 12:45 PM TH
66	 6:00 PM  8:00 PM W
67	 3:40 PM  5:30 PM T
68	 2:40 PM  4:00 PM W
